source,target
202716,203077
202716,203940
202718,203115
202718,1626181
202720,203530
202720,203094
202720,203210
202722,2594
202722,203966
202723,1628414
202723,1627735
202724,203489
202725,203113
202725,203120
202725,202329
202730,686
202732,203906
202732,200757
202734,2584
202734,203546
202738,203081
202779,1627747
202779,1536
202809,201945
202809,1627742
202951,203148
202951,2557
202962,203928
202970,1626172
203076,1626149
203076,203994
203077,203469
203078,203468
203078,203897
203078,1627750
203079,203095
203080,203500
203081,1626164
203081,202689
203082,1627736
203082,978
203083,1626210
203083,203994
203083,203991
203084,2736
203084,202694
203085,1627782
203085,1627812
203086,1628035
203086,1627816
203086,2431
203087,1628369
203087,1627759
203087,203115
203088,101181
203088,1626273
203088,201953
203089,1628386
203090,1628966
203090,202087
203092,203382
203092,201574
203092,202389
203093,1626158
203093,1627746
203093,1628464
203095,203918
203096,1627734
203096,2400
203096,203530
203098,203926
203098,711
203100,202391
203101,1627751
203102,203158
203102,202716
203103,204037
203103,203199
203103,101153
203105,1626257
203106,203922
203106,202713
203106,202347
203107,1533
203109,1626209
203109,1740
203110,2738
203110,1626153
203110,1627761
203111,1627835
203111,101120
203111,203585
203112,203527
203112,1626185
203112,201973
203113,203120
203113,1628371
203113,203909
203114,2571
203114,203079
203115,204020
203117,101214
203117,2294
203118,1626163
203120,203909
203120,203488
203121,204014
203121,203503
203123,1627775
203123,1626220
203123,1629026
203124,203089
203124,1627751
203128,201189
203128,703
203133,201964
203133,202713
203138,203503
203138,2050
203141,101123
203141,203142
203142,202711
203142,201156
203143,203515
203143,1626145
203144,1626184
203144,201588
203144,201985
203145,1536
203145,1626196
203148,1628973
203156,1628397
203158,101130
203186,1628386
203186,202389
203187,1628384
203187,1628404
203197,1628373
203197,1627775
203197,1853
203199,201967
203210,203461
203210,201973
203268,1628393
203268,1627735
203457,1629034
203457,200748
203457,1626204
203458,1628386
203458,2731
203458,1628976
203459,203493
203460,202698
203460,2059
203460,202082
203461,203940
203462,202692
203462,1627742
203462,201945
203463,1627789
203463,711
203468,203903
203468,1627750
203469,203500
203469,203920
203471,1628372
203473,203543
203473,1628464
203473,101189
203476,1626172
203477,200751
203477,201988
203477,202083
203481,203105
203482,203932
203482,1628369
203484,1626181
203484,203109
203485,203499
203485,203197
203486,1628389
203486,201168
203486,203469
203487,202391
203487,1628368
203487,202339
203488,101107
203489,1628424
203489,202709
203489,203492
203490,1626209
203490,1627786
203490,201960
203492,1628424
203493,1629244
203496,739
203496,2772
203496,1627788
203497,1628386
203498,203952
203498,1712
203499,1628393
203499,201986
203500,203920
203500,203156
203501,203930
203503,1628390
203504,202348
203505,203508
203505,203902
203505,203524
203506,202339
203506,1627747
203507,1628385
203507,200794
203507,201188
203508,203524
203508,1626203
203508,1515
203512,201157
203512,202327
203515,1626145
203515,2248
203516,203922
203516,203921
203518,201611
203518,2554
203518,1629130
203521,2229
203521,101181
203524,1626220
203526,1626170
203527,203960
203527,203516
203530,2431
203530,203210
203543,1628464
203543,1627748
203544,2804
203544,101110
203544,201229
203546,1628379
203546,1628422
203552,203918
203552,951
203561,1628021
203561,1628977
203580,1088
203580,203521
203580,201953
203584,1629013
203584,200779
203584,203141
203585,202347
203613,201945
203705,204025
203705,203088
203705,2224
203710,201584
203710,1629102
203710,1627775
203798,201611
203894,201228
203897,203903
203897,1627750
203898,202714
203900,202066
203900,1716
203901,202397
203901,2551
203902,2768
203903,203078
203906,2059
203906,200782
203906,2137
203909,1628371
203913,101187
203913,203613
203913,1629019
203914,1626181
203914,203484
203914,202340
203917,1627789
203917,711
203920,204028
203921,1627846
203921,203922
203924,1627748
203924,1628380
203924,203909
203925,1627854
203925,1628379
203926,1627854
203926,201167
203928,201574
203928,201959
203930,201569
203933,203953
203933,200752
203934,203508
203934,203505
203935,201228
203935,1716
203937,202970
203937,201153
203939,1626178
203939,201168
203940,1628021
203943,2853
203943,101189
203943,201189
203944,1627734
203944,1628381
203952,200750
203952,200752
203954,202326
203954,203076
203954,1626157
203956,1627767
203956,201582
203956,201941
203957,202721
203957,2039
203957,2422
203960,1626185
203960,1627884
203960,202365
203961,2740
203961,1112
203962,1627733
203962,1629061
203962,200081
203966,200779
203966,1629151
203967,1626168
203967,1626163
203967,202694
203991,1627826
203991,202324
203991,101115
203994,1626210
203994,1495
203994,201576
203998,1628467
203998,203488
203999,203507
203999,201933
203999,2544
204001,1628991
204001,101235
204014,2427
204020,1626196
204020,1626181
204025,203107
204025,200766
204025,1626170
204028,202684
204037,101153
204038,1628422
204060,1628975
204060,1626166
204098,1897
204098,202697
204098,1716
204456,1626145
204456,1627739
1626143,2744
1626144,1628412
1626144,1628973
1626145,203499
1626147,1629066
1626147,200760
1626147,201948
1626148,1628400
1626148,2586
1626148,1626253
1626149,200746
1626149,1628963
1626150,1627098
1626150,1628443
1626150,1627936
1626153,2738
1626153,1627936
1626153,1628983
1626155,201973
1626155,1628970
1626155,202335
1626156,202689
1626156,101126
1626157,1628963
1626157,1627848
1626157,1628381
1626159,1628972
1626159,1626220
1626161,203156
1626162,1627883
1626162,1627759
1626162,1626147
1626163,1626168
1626164,202738
1626166,200770
1626166,1627832
1626166,101109
1626167,1626158
1626167,203093
1626167,203089
1626168,202694
1626169,202066
1626171,202699
1626171,203096
1626171,1712
1626173,1628390
1626173,203187
1626178,2222
1626179,2756
1626179,2748
1626184,1627812
1626185,1627816
1626188,1628379
1626188,202390
1626188,2207
1626192,203111
1626192,203585
1626195,1627734
1626195,203944
1626196,1626181
1626196,201564
1626203,202347
1626203,2294
1626203,1952
1626204,202970
1626204,1627749
1626204,201971
1626209,1626181
1626210,202702
1626214,203516
1626214,203921
1626220,1627827
1626224,1627851
1626245,2853
1626245,201574
1626253,1627835
1626253,202347
1626253,2294
1626254,201601
1626254,201153
1626257,203481
1626273,200766
1626780,2037
1626780,203501
1627098,1626170
1627098,1628443
1627215,101145
1627215,201936
1627215,201950
1627362,200758
1627362,202732
1627362,202407
1627395,203906
1627395,202732
1627395,200757
1627732,203487
1627732,202322
1627732,1628368
1627733,1627835
1627733,203111
1627733,1628470
1627734,2400
1627734,1628397
1627736,201627
1627737,203120
1627737,1628371
1627737,203909
1627738,1627834
1627739,1626153
1627741,101123
1627741,1628370
1627742,1629019
1627745,203135
1627745,201805
1627746,203092
1627748,1628467
1627748,203113
1627748,1628380
1627749,1628365
1627749,1627761
1627750,202348
1627751,2731
1627752,1626181
1627755,101109
1627755,203898
1627755,200766
1627756,1628989
1627756,204038
1627756,201611
1627758,965
1627758,203906
1627758,203499
1627759,1628369
1627759,202694
1627761,2738
1627761,204098
1627761,1626153
1627763,1628420
1627763,201564
1627763,203079
1627767,201941
1627767,201582
1627774,201948
1627775,2562
1627780,1628537
1627780,1626159
1627780,1628373
1627785,203492
1627785,2422
1627786,1626169
1627786,1897
1627788,2747
1627788,203109
1627790,203092
1627790,201581
1627814,203109
1627814,201960
1627814,203484
