PLAYER_NAME,ID,GAMES,SEASONS,group
Mardy Collins,200776,43,1,3
Joel Freeland,200777,150,3,0
Steve Novak,200779,326,8,4
Solomon Jones,200780,125,5,0
P.J. Tucker,200782,565,7,1
Craig Smith,200783,170,3,5
Daniel Gibson,200789,203,4,1
Paul Millsap,200794,705,10,5
Leon Powe,200796,50,2,5
Ryan Hollins,200797,385,7,0
Lou Amundson,200811,324,7,0
Pooh Jeter,200817,61,1,3
J.J. Barea,200826,645,10,6
Walker Russell,201041,28,1,3
Greg Oden,201141,43,2,5
Kevin Durant,201142,695,10,6
Al Horford,201143,637,10,0
Mike Conley,201144,651,10,6
Jeff Green,201145,702,9,2
Yi Jianlian,201146,145,3,0
Corey Brewer,201147,716,10,6
Brandan Wright,201148,350,8,5
Joakim Noah,201149,513,10,0
Spencer Hawes,201150,536,8,0
Acie Law,201151,77,2,6
Thaddeus Young,201152,751,10,2
Julian Wright,201153,120,2,2
Al Thornton,201154,146,2,2
Rodney Stuckey,201155,514,8,6
Nick Young,201156,563,10,4
Sean Williams,201157,31,2,0
Marco Belinelli,201158,727,10,4
Jason Smith,201160,538,10,0
Daequan Cook,201161,194,4,1
Jared Dudley,201162,706,10,1
Wilson Chandler,201163,522,9,2
Rudy Fernandez,201164,169,3,4
Aaron Brooks,201166,513,8,4
Arron Afflalo,201167,612,9,4
Tiago Splitter,201168,355,7,5
Carl Landry,201171,400,7,5
Glen Davis,201175,368,6,0
Josh McRoberts,201177,392,9,1
Chris Richard,201181,18,1,0
Dominic McGuire,201187,193,4,0
Marc Gasol,201188,711,10,5
Aaron Gray,201189,200,5,0
Ramon Sessions,201196,594,9,6
Joel Anthony,201202,401,8,0
C.J. Watson,201228,490,8,3
Anthony Tolliver,201229,643,10,1
Ivan Johnson,201274,125,2,5
Michael Beasley,201563,527,10,2
O.J. Mayo,201564,463,7,4
Derrick Rose,201565,465,9,6
Russell Westbrook,201566,737,10,6
Kevin Love,201567,574,10,5
Danilo Gallinari,201568,520,9,4
Eric Gordon,201569,550,10,4
D.J. Augustin,201571,734,10,3
Brook Lopez,201572,633,10,5
Jerryd Bayless,201573,530,10,3
Jason Thompson,201574,504,7,0
Brandon Rush,201575,406,8,1
Anthony Randolph,201576,189,5,5
Robin Lopez,201577,705,10,0
Marreese Speights,201578,623,9,5
Roy Hibbert,201579,592,8,0
JaVale McGee,201580,556,10,5
JJ Hickson,201581,470,7,5
Alexis Ajinca,201582,262,6,0
Ryan Anderson,201583,581,10,4
Courtney Lee,201584,710,10,1
Kosta Koufos,201585,636,10,0
Serge Ibaka,201586,752,10,0
Nicolas Batum,201587,686,10,4
George Hill,201588,649,10,4
Darrell Arthur,201589,426,8,2
Donte Greene,201590,197,3,2
DJ White,201591,131,5,0
Nikola Pekovic,201593,270,6,5
Joey Dorsey,201595,127,3,0
Mario Chalmers,201596,564,8,3
DeAndre Jordan,201599,765,10,5
Omer Asik,201600,471,8,0
Luc Mbah a Moute,201601,603,10,2
Kyle Weaver,201602,17,2,1
Sonny Weems,201603,171,3,2
Chris Douglas-Roberts,201604,178,5,2
Nathan Jawai,201605,38,1,0
Goran Dragic,201609,703,10,6
Henry Walker,201611,152,4,1
Semih Erden,201623,69,2,0
Anthony Morrow,201627,496,8,4
Othyus Jeffers,201785,37,3,2
Chris Hunter,201805,60,1,0
Gary Forbes,201814,111,2,2
Cartier Martin,201858,210,6,4
Greg Stiemsma,201880,203,4,0
Blake Griffin,201933,603,9,5
Hasheem Thabeet,201934,223,5,0
James Harden,201935,765,10,6
Tyreke Evans,201936,593,10,6
Ricky Rubio,201937,498,8,3
Jonny Flynn,201938,162,3,3
Stephen Curry,201939,691,10,6
Jordan Hill,201941,409,8,5
DeMar DeRozan,201942,750,10,6
Brandon Jennings,201943,553,9,6
Terrence Williams,201944,153,4,2
Gerald Henderson,201945,534,8,2
Tyler Hansbrough,201946,428,7,5
Earl Clark,201947,261,6,0
Austin Daye,201948,292,6,1
James Johnson,201949,601,10,2
Jrue Holiday,201950,651,10,6
Ty Lawson,201951,550,8,6
Jeff Teague,201952,711,10,6
Eric Maynor,201953,267,5,3
Darren Collison,201954,706,10,6
Omri Casspi,201956,587,10,2
Byron Mullens,201957,189,5,0
Rodrigue Beaubois,201958,181,4,6
Taj Gibson,201959,736,10,0
DeMarre Carroll,201960,552,10,2
Wayne Ellington,201961,642,10,4
Toney Douglas,201962,394,8,4
Christian Eyenga,201963,51,2,2
Victor Claver,201964,80,3,1
Jermaine Taylor,201966,65,2,2
Dante Cunningham,201967,712,10,1
Sam Young,201970,248,4,2
DeJuan Blair,201971,424,7,5
Jon Brockman,201972,150,3,0
Jonas Jerebko,201973,633,9,2
Derrick Brown,201974,170,3,2
Jodie Meeks,201975,539,10,4
Patrick Beverley,201976,380,7,3
Marcus Thornton,201977,481,8,4
Chase Budinger,201978,407,7,4
Nick Calathes,201979,129,2,3
Danny Green,201980,620,10,4
AJ Price,201985,261,6,4
Nando De Colo,201986,119,2,3
Patty Mills,201988,605,10,4
Lester Hudson,201991,57,4,3
Garrett Temple,202066,514,9,3
Larry Owens,202082,19,2,1
Wesley Matthews,202083,722,10,4
Alonzo Gee,202087,415,8,2
Reggie Williams,202130,206,7,4
Sundiata Gaines,202178,113,3,6
Zabian Dowdell,202220,24,1,3
Terrel Harris,202227,42,2,1
John Wall,202322,573,9,6
Evan Turner,202323,686,9,2
Derrick Favors,202324,632,9,5
Wesley Johnson,202325,608,9,1
DeMarcus Cousins,202326,562,9,5
Ekpe Udoh,202327,383,7,0
Greg Monroe,202328,631,9,5
Al-Farouq Aminu,202329,669,9,2
Gordon Hayward,202330,589,9,6
Paul George,202331,603,9,6
Cole Aldrich,202332,338,8,0
Xavier Henry,202333,185,5,2
Ed Davis,202334,639,9,0
Patrick Patterson,202335,621,9,1
Larry Sanders,202336,236,6,0
Luke Babbitt,202337,380,8,1
Kevin Seraphin,202338,423,7,0
Eric Bledsoe,202339,569,9,6
Avery Bradley,202340,521,9,4
James Anderson,202341,247,5,4
Elliot Williams,202343,109,4,2
Trevor Booker,202344,532,8,0
Damion James,202345,39,4,0
Quincy Pondexter,202347,354,7,1
Jordan Crawford,202348,281,6,6
Greivis Vasquez,202349,401,7,3
Daniel Orton,202350,51,3,0
Hassan Whiteside,202355,342,6,5
Nemanja Bjelica,202357,268,4,1
Landry Fields,202361,254,5,2
Lance Stephenson,202362,506,9,2
Jarvis Varnado,202363,37,2,0
Devin Ebanks,202365,63,3,2
Luke Harangody,202376,70,2,1
Jeremy Evans,202379,250,7,0
Ben Uzoh,202386,60,2,3
Donald Sloan,202388,218,5,3
Timofey Mozgov,202389,453,8,0
Gary Neal,202390,352,7,4
Jeremy Lin,202391,480,9,6
Samardo Samuels,202396,109,3,5
Ish Smith,202397,539,9,3
Jeff Adrien,202399,153,5,0
Elijah Millsap,202407,69,3,3
Manny Harris,202412,93,4,2
Lance Thomas,202498,391,8,1
Kyrie Irving,202681,506,8,6
Derrick Williams,202682,428,7,2
Enes Kanter,202683,583,8,5
Tristan Thompson,202684,560,8,0
Jonas Valanciunas,202685,487,7,5
Jan Vesely,202686,162,3,0
Bismack Biyombo,202687,583,8,0
Brandon Knight,202688,420,7,6
Kemba Walker,202689,605,8,6
Jimmer Fredette,202690,240,6,4
Klay Thompson,202691,612,8,4
Alec Burks,202692,429,8,2
Markieff Morris,202693,578,8,2
Marcus Morris Sr.,202694,545,8,4
Kawhi Leonard,202695,467,8,6
Nikola Vucevic,202696,535,8,5
Iman Shumpert,202697,445,8,3
Chris Singleton,202698,148,3,1
Tobias Harris,202699,544,8,2
Donatas Motiejunas,202700,251,6,2
Kenneth Faried,202702,476,8,5
Nikola Mirotic,202703,319,5,4
Reggie Jackson,202704,528,8,6
MarShon Brooks,202705,199,5,2
Jordan Hamilton,202706,151,5,4
Norris Cole,202708,360,6,3
Cory Joseph,202709,526,8,3
Jimmy Butler,202710,522,8,6
Bojan Bogdanovic,202711,398,5,4
